Service1 Service2 Service3
16.26 22.35 119.64
15.29 22.68 108.71
16.20 22.49 120.01
15.77 22.97 119.35
15.73 22.19 108.95
15.68 22.26 120.14
15.64 22.56 111.83
16.14 22.52 121.02
15.67 22.52 110.63
16.38 23.11 122.01
15.83 22.24 118.05
16.03 21.30 105.48
15.91 22.64 124.06
15.95 22.69 112.58
16.41 22.90 123.86
15.59 22.31 108.65
16.01 22.80 122.80
15.79 22.39 117.15
16.09 20.88 109.08
16.59 22.51 121.34
15.33 22.40 109.00
16.30 22.49 123.03
15.35 22.82 112.43
16.18 23.01 123.73
15.81 22.52 118.18
15.68 21.69 107.79
15.95 22.86 120.46
15.74 22.77 111.13
15.90 22.95 119.90
15.56 21.94 108.01
16.18 22.61 122.07
15.65 22.61 116.08
15.89 21.85 111.26
16.08 23.08 121.39
15.70 22.29 111.85
16.27 22.63 124.26
15.74 22.69 108.97
16.36 22.84 119.12
15.61 22.84 118.48
15.94 21.81 110.41
15.90 22.77 119.44
15.60 22.07 110.44
15.98 22.69 122.93
15.69 22.65 109.38
16.38 22.97 122.99
15.66 23.14 118.27
15.54 21.25 108.16
15.44 23.10 120.27
15.57 22.76 111.47
16.05 22.36 121.90
15.26 22.34 106.88
16.36 22.99 122.91
15.89 22.49 118.16
15.61 21.73 111.86
15.82 22.71 120.61
15.44 21.95 111.72
16.24 22.73 122.07
15.66 22.39 111.65
15.88 22.83 121.45
15.79 22.22 114.68
15.84 21.59 109.64
15.85 22.98 120.79
15.93 22.51 109.55
16.13 22.53 125.44
15.84 22.74 109.04
16.21 22.50 119.69
